permalink,tweet_nonce,tweet_id,user_id,username,fullname,posted_time,reply_count,retweet_count,favorite_count,body
https://twitter.com/oaktownbrown12/status/960240383320997888,960240383320997888-92aa4fdb-055f-4f4a-bd34-746c9c5ed56c,960240383320997888,3162948000,@oaktownbrown12@jenbrea,Scott Brown,1517774122,1,8,16,"Agreed. Always found it amusing that doctors don’t believe in ME/CFS because there’s no definitive test or cause, so they diagnose you with something else that has no definitive test or cause. https://twitter.com/jenbrea/status/960203093576003584 …"
https://twitter.com/USGA/status/960221565660139521,960221565660139521-faf06055-08ca-48b1-8c8f-01e6e45160cd,960221565660139521,16257130,@USGA,USGA,1517769635,1,4,23,"On this day in 1912, 1939 @usopengolf champion Byron Nelson was born. The machine that the USGA used for many years to test golf balls with, ""Iron Byron,” was modeled after the legend’s swing. pic.twitter.com/lkFdBcANHb"
https://twitter.com/nocopoutuk/status/960251260946599938,960251260946599938-284cb784-af65-4537-a12d-2ec7e647c817,960251260946599938,2901033340,@nocopoutuk,Alien destruction,1517776715,2,4,6,"May to be ‘ousted by Brexit dream team of Boris, Mogg and Gove’ if she fails Brexit test http://shr.gs/OjuW1ia "
https://twitter.com/Purrcules/status/960262204103778304,960262204103778304-243e3cd8-23fb-4a93-bc67-5a426240edb5,960262204103778304,405525280,@Purrcules,Big Kitty Committee  🐾,1517779324,5,0,5,So I did a DNA test and it turns out I'm actually 0% big cat. :/
https://twitter.com/NASA_SLS/status/960257018685722624,960257018685722624-eaab01dd-21ce-4585-a761-261b0aa664ff,960257018685722624,467739426,@NASA_SLS,NASA_SLS,1517778088,0,6,32,"WATCH: The second #NASASLS RS-25 engine test of 2018, the Super Blue Blood Moon and more this week at @NASA! READ MORE >> https://go.nasa.gov/2FCZeCs #TWANpic.twitter.com/n9EsETh0pp"
https://twitter.com/PiFitti/status/960260846692704258,960260846692704258-47051c45-40cc-43cb-a02d-ff83a0b38b6e,960260846692704258,156997331,@PiFitti@Motorsport,Pietro Fittipaldi,1517779001,1,3,13,Thank you @DaleCoyneRacing @escuderiatelmex @IndyCar for another opportunity to test this amazing car. Looking forward to it!  https://twitter.com/motorsport/status/960254808421670912 …
https://twitter.com/AllConcussion/status/960261515109527552,960261515109527552-76cc5512-550a-4eb0-83a7-83b8e2c0507b,960261515109527552,262408822,@AllConcussion@Chartel77,All Concussion,1517779160,0,0,1,Have you ever had a full battery neuropsych test? That provides an assessment of your cognitive abilities. It takes a full day to day & 1/2 to complete.
https://twitter.com/Motorsport/status/960254808421670912,960254808421670912-6ea4b4d2-0759-405b-85aa-61c91b4aa58e,960254808421670912,36339032,@Motorsport,Motorsport.com,1517777561,0,10,21,Pietro Fittipaldi to run rookie oval @IndyCar test at Phoenix @ISMRaceway this week - http://bit.ly/2BUTTE7  @PiFitti @DaleCoyneRacingpic.twitter.com/bgAvJDCIkg
https://twitter.com/haiitsaubree/status/960260876774330369,960260876774330369-8a96c4f6-c4d3-4f57-8e27-802ffba88991,960260876774330369,439581952,@haiitsaubree,A 🌹,1517779008,0,2,1,The real test of a relationship and person is how they handle you at your worst.
https://twitter.com/abbeyclements/status/960240267877109761,960240267877109761-f7bef50e-0079-405a-8f6d-6786cb52b4e5,960240267877109761,222319683,@abbeyclements,Abbey Clements,1517774094,2,15,37,"""It's a sad reality"" indeed. But DO NOT normalize school shootings. We can do much more to keep American children safe than buying bullet-proof backpacks (that don't claim to work on assault weapons). Join @MomsDemand & be a part of the real solution.http://www.kctv5.com/story/37372240/bulletproof-panels-for-students-backpacks-put-to-the-test …"
